name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,season_goals,season_assists
Carlos Bacca,西班牙,30,ST,82,82,84,80,63,82,19,75,67828001,Sevilla FC,西班牙甲级联赛,右,14,0
Abdulkader Keita,法国,35,ST,82,82,90,79,73,84,25,83,30506677,Olympique Lyonnais,法国甲级联赛,右,0,0
Granit Xhaka,德国,24,CM,82,86,51,74,87,75,73,63,81412538,Borussia Mönchengladbach,德国甲级联赛,左,1,0
Ledley King,英格兰,36,CB,82,82,67,34,61,60,82,68,45301410,Tottenham Hotspur,英格兰超级联赛,右,3,1
Lorenzo Insigne,意大利,25,W,82,86,89,72,78,88,22,59,57437453,Napoli,意大利甲级联赛,右,8,3
Oscar,英格兰,25,W,82,86,78,76,82,83,42,59,32864440,Chelsea,英格兰超级联赛,右,12,7
Keylor Navas,西班牙,30,GK,82,82,56,16,40,18,15,63,27088218,Levante UD,西班牙甲级联赛,右,0,0
Gary Cahill,英格兰,31,FB,82,82,70,62,61,61,85,76,57329837,Chelsea,英格兰超级联赛,右,18,9
Morgan Schneiderlin,英格兰,27,CM,82,84,64,64,79,76,82,80,58811170,Southampton,英格兰超级联赛,右,7,1
Karim Bellarabi,德国,26,W,82,84,90,78,75,86,32,72,57816241,Bayer 04 Leverkusen,德国甲级联赛,右,4,3
Borja Valero,意大利,31,CAM,82,82,71,71,87,85,64,70,51807413,Fiorentina,意大利甲级联赛,右,20,19
Stephan Lichtsteiner,意大利,32,FB,82,82,82,64,69,74,81,80,19232085,Juventus,意大利甲级联赛,右,12,6
Iker Casillas,西班牙,35,GK,82,82,64,18,36,24,14,63,55158762,Real Madrid CF,西班牙甲级联赛,左,0,0
Jeremy Mathieu,西班牙,33,FB,82,82,76,70,61,55,82,77,49440749,Valencia CF,西班牙甲级联赛,左,6,8
Javier Hernandez,英格兰,28,ST,82,82,86,78,65,77,26,73,119429155,Manchester United,英格兰超级联赛,右,40,9
Cesar Azpilicueta,英格兰,27,FB,82,84,79,58,74,74,85,77,41902345,Chelsea,英格兰超级联赛,右,3,4
Lamine Yamal,西班牙,16,RW,81,94,88,75,80,88,35,65,90000000,巴塞罗那,西甲,左,8,5
Rasmus Højlund,丹麦,20,ST,80,88,87,80,62,78,42,85,65000000,曼联,英超,右,10,2
