name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Lionel Messi,西班牙,29,W,94,94,92,87,86,96,20,67,354822581,FC Barcelona,西班牙甲级联赛,左,170,72,219,55
Cristiano Ronaldo,西班牙,31,ST,93,93,92,94,78,92,26,88,199160488,Real Madrid CF,西班牙甲级联赛,右,185,80,200,38
Manuel Neuer,德国,30,GK,90,90,60,18,55,24,15,68,125522347,FC Bayern Munich,德国甲级联赛,右,193,92,1,1
Luis Suarez,英格兰,29,ST,90,90,83,88,77,90,38,78,207063239,Liverpool,英格兰超级联赛,右,183,85,77,27
Neymar,西班牙,24,W,90,94,90,80,77,94,28,62,157579012,FC Barcelona,西班牙甲级联赛,右,175,68,9,1
Zlatan Ibrahimovic,法国,35,ST,89,89,73,90,81,88,26,80,156899984,Paris Saint-Germain,法国甲级联赛,右,196,95,144,31
Arjen Robben,德国,32,W,89,89,90,87,81,92,30,66,78161104,FC Bayern Munich,德国甲级联赛,左,180,80,65,21
Robert Lewandowski,德国,28,ST,88,89,80,85,75,86,31,81,142931079,Borussia Dortmund,德国甲级联赛,右,185,79,75,11
Thiago Silva,法国,32,FB,88,88,74,62,78,74,90,83,116602033,Paris Saint-Germain,法国甲级联赛,右,183,79,11,1
Andres Iniesta,西班牙,32,CAM,88,88,76,71,90,91,60,59,60879746,FC Barcelona,西班牙甲级联赛,右,170,68,22,31
Sergio Aguero,英格兰,28,ST,88,88,89,87,75,89,17,76,150587672,Manchester City,英格兰超级联赛,右,173,74,104,28
Eden Hazard,英格兰,25,W,88,90,90,81,84,92,29,65,191627793,Chelsea,英格兰超级联赛,右,173,74,44,18
Mesut Oezil,西班牙,28,W,88,89,72,74,89,88,20,57,88506920,Real Madrid CF,西班牙甲级联赛,左,183,76,37,44
David De Gea,英格兰,26,GK,87,90,53,19,44,22,19,52,165580160,Manchester United,英格兰超级联赛,右,193,82,0,0
Jerome Boateng,德国,28,FB,87,88,78,57,77,70,87,80,50323881,FC Bayern Munich,德国甲级联赛,右,193,90,3,2
Luka Modric,英格兰,31,CAM,87,87,76,75,86,89,72,72,155028763,Tottenham Hotspur,英格兰超级联赛,右,175,65,17,18
Gareth Bale,英格兰,27,W,87,89,94,85,80,86,62,79,72708435,Tottenham Hotspur,英格兰超级联赛,左,183,74,56,30
Philipp Lahm,德国,33,CM,87,87,71,56,83,84,90,70,81707739,FC Bayern Munich,德国甲级联赛,右,170,66,8,12
James Rodriguez,葡萄牙,25,W,87,93,78,86,84,86,40,66,162739997,FC Porto,葡萄牙超级联赛,左,180,75,9,3
Sergio Ramos,西班牙,30,FB,87,87,78,64,70,70,88,86,88466935,Real Madrid CF,西班牙甲级联赛,右,183,75,25,13
Toni Kroos,德国,26,CAM,87,89,56,84,89,84,67,67,82124314,FC Bayern Munich,德国甲级联赛,右,183,78,23,15
Sergio Busquets,西班牙,28,CM,86,87,51,58,84,78,84,77,87746758,FC Barcelona,西班牙甲级联赛,右,188,76,5,5
Petr Cech,英格兰,34,GK,86,86,48,15,28,17,15,49,86134875,Chelsea,英格兰超级联赛,左,196,90,1,2
Thibaut Courtois,西班牙,24,GK,86,90,49,22,36,18,15,59,151667920,Atlético Madrid,西班牙甲级联赛,左,198,88,1,0
Kevin de Bruyne,德国,25,ST,86,89,77,84,86,86,40,74,132629584,VfL Wolfsburg,德国甲级联赛,右,180,76,13,7
Karim Benzema,西班牙,29,ST,86,86,83,83,72,84,16,74,102051992,Real Madrid CF,西班牙甲级联赛,右,188,79,73,17
David Silva,英格兰,30,W,86,86,74,74,90,89,31,63,69794375,Manchester City,英格兰超级联赛,左,170,67,35,54
Thomas Mueller,德国,27,ST,86,88,77,81,82,80,44,80,74401792,FC Bayern Munich,德国甲级联赛,右,185,75,59,24
Angel Di Maria,西班牙,28,W,86,86,88,80,82,86,50,71,116989360,Real Madrid CF,西班牙甲级联赛,左,180,75,21,37
Franck Ribery,德国,33,W,86,86,86,75,83,90,25,58,58925084,FC Bayern Munich,德国甲级联赛,右,170,72,52,26
Diego Godin,西班牙,30,CB,86,86,68,51,66,63,87,80,172375726,Atlético Madrid,西班牙甲级联赛,右,185,73,11,4
Marco Reus,德国,27,W,86,87,90,84,83,86,40,69,95887469,Borussia Dortmund,德国甲级联赛,右,180,75,66,17
Gonzalo Higuain,西班牙,29,ST,86,86,81,85,67,84,18,76,104733266,Real Madrid CF,西班牙甲级联赛,右,183,82,117,25
Cesc Fabregas,西班牙,29,CAM,86,86,64,77,92,84,60,71,48518585,FC Barcelona,西班牙甲级联赛,右,175,74,52,46
Paul Pogba,意大利,23,CM,86,91,77,84,84,88,73,89,77366956,Juventus,意大利甲级联赛,右,190,84,12,4
Xavi Hernandez,西班牙,36,CAM,86,86,66,71,92,86,62,58,63256646,FC Barcelona,西班牙甲级联赛,右,170,67,31,42
Alexis Sanchez,意大利,28,ST,86,87,86,81,77,86,36,79,78955801,Udinese,意大利甲级联赛,右,170,62,59,14
Giorgio Chiellini,意大利,32,CB,86,86,74,54,48,50,89,83,88737216,Juventus,意大利甲级联赛,左,188,86,16,5
Mats Hummels,德国,28,CM,86,87,64,59,80,72,88,74,92891653,Borussia Dortmund,德国甲级联赛,右,190,92,16,4
Gerard Pique,西班牙,29,CM,85,85,62,59,75,68,86,75,81592677,FC Barcelona,西班牙甲级联赛,右,193,85,13,0
Edinson Cavani,意大利,29,ST,85,85,76,83,68,82,36,84,34918060,Napoli,意大利甲级联赛,右,183,71,130,10
Wayne Rooney,英格兰,31,ST,85,85,73,86,83,81,44,84,59784025,Manchester United,英格兰超级联赛,右,175,83,114,47
Bastian Schweinsteiger,德国,32,CM,85,85,52,79,87,80,77,78,115556064,FC Bayern Munich,德国甲级联赛,右,183,79,25,10
Arturo Vidal,意大利,29,CM,85,85,78,79,80,82,85,83,44298006,Juventus,意大利甲级联赛,右,180,75,43,9
Ivan Rakitic,西班牙,28,CAM,85,85,68,84,88,85,60,64,97480878,Sevilla FC,西班牙甲级联赛,右,183,78,40,12
Diego Costa,西班牙,28,ST,85,86,76,80,62,82,35,79,54642539,Atlético Madrid,西班牙甲级联赛,右,188,85,65,7
Santi Cazorla,英格兰,32,CAM,85,85,72,79,85,86,55,68,61244407,Arsenal,英格兰超级联赛,右,168,66,42,32
Hugo Lloris,法国,30,GK,85,85,64,16,29,22,17,53,71227349,Olympique Lyonnais,法国甲级联赛,左,188,78,1,0
David Alaba,德国,24,CM,85,88,86,76,81,83,84,79,99968838,FC Bayern Munich,德国甲级联赛,左,180,76,11,4
Miranda,西班牙,32,FB,85,85,76,51,61,64,89,77,78156669,Atlético Madrid,西班牙甲级联赛,右,185,76,6,0
Henrik Mkhitaryan,德国,27,CAM,85,86,86,80,83,88,56,74,95880111,Borussia Dortmund,德国甲级联赛,右,178,75,9,5
Vincent Kompany,英格兰,30,FB,85,85,68,59,63,66,85,76,113908731,Manchester City,英格兰超级联赛,右,193,85,13,7
Yaya Toure,英格兰,33,CAM,85,85,74,84,85,82,70,81,126353194,Manchester City,英格兰超级联赛,右,188,90,44,30
Carlos Tevez,英格兰,32,ST,85,85,88,88,74,87,44,82,43029905,Manchester City,英格兰超级联赛,右,173,71,84,29
Andrea Barzagli,意大利,35,CB,85,85,74,39,60,62,90,79,105422224,Juventus,意大利甲级联赛,右,188,87,4,0
Naldo,德国,34,CM,84,84,72,77,68,64,87,64,39113884,VfL Wolfsburg,德国甲级联赛,右,198,89,21,1
Laurent Koscielny,英格兰,31,FB,84,84,78,44,66,64,85,77,56752258,Arsenal,英格兰超级联赛,右,185,75,10,2
Pepe,西班牙,33,FB,84,84,72,55,62,58,87,77,36243619,Real Madrid CF,西班牙甲级联赛,右,188,81,8,2
Gianluigi Buffon,意大利,38,GK,84,84,46,16,41,25,13,59,74324570,Juventus,意大利甲级联赛,右,193,91,0,0
Xabi Alonso,西班牙,35,CM,84,84,32,74,91,80,76,61,49042787,Real Madrid CF,西班牙甲级联赛,右,183,80,10,22
Miralem Pjanic,意大利,26,CAM,84,86,72,78,87,86,63,67,67066187,Roma,意大利甲级联赛,右,180,74,15,10
Antoine Griezmann,西班牙,25,ST,84,88,86,81,75,85,23,74,53423669,Real Sociedad,西班牙甲级联赛,左,175,67,41,5
Isco,西班牙,24,W,84,88,74,76,82,88,38,67,69787474,Real Madrid CF,西班牙甲级联赛,右,175,74,22,6
Marco Verratti,法国,24,CM,84,89,68,59,87,86,79,67,48450117,Paris Saint-Germain,法国甲级联赛,右,165,60,0,0
Joe Hart,英格兰,29,GK,84,84,60,33,36,22,16,54,96346736,Manchester City,英格兰超级联赛,右,196,91,0,0
Mario Goetze,德国,24,W,84,88,72,69,81,90,31,67,25799878,Borussia Dortmund,德国甲级联赛,右,175,72,32,11
Jordi Alba,西班牙,27,FB,84,85,92,68,72,81,82,79,98303327,FC Barcelona,西班牙甲级联赛,左,170,68,9,6
Javier Pastore,法国,27,CAM,84,85,74,77,86,88,57,64,59570584,Paris Saint-Germain,法国甲级联赛,右,188,78,28,7
Daniel Alves,西班牙,33,FB,84,84,86,75,74,83,80,71,91667334,FC Barcelona,西班牙甲级联赛,右,173,70,14,40
Pierre-Emerick Aubameyang,法国,27,ST,84,85,96,81,72,81,34,77,31703323,AS Saint-Étienne,法国甲级联赛,右,188,80,46,3
Philippe Coutinho,英格兰,24,W,84,88,83,76,83,88,32,63,54108996,Liverpool,英格兰超级联赛,右,170,68,16,15
Blaise Matuidi,法国,29,CM,84,84,75,68,79,75,84,83,134190015,Paris Saint-Germain,法国甲级联赛,左,175,70,11,1
John Terry,英格兰,36,GK,84,84,34,47,63,54,86,78,66422335,Chelsea,英格兰超级联赛,右,188,90,19,6
Samir Handanovic,意大利,32,GK,84,84,56,17,36,20,15,63,43948174,Inter,意大利甲级联赛,右,193,89,0,0
Claudio Marchisio,意大利,30,CM,84,84,79,74,85,84,77,76,51445278,Juventus,意大利甲级联赛,右,180,71,29,4
Hulk,葡萄牙,30,ST,84,84,84,90,80,84,39,82,99134065,FC Porto,葡萄牙超级联赛,左,180,85,0,0
Javier Martinez,西班牙,28,CM,84,85,52,65,76,67,85,72,91635587,Athletic Club de Bilbao,西班牙甲级联赛,右,190,81,23,1
Ilkay Guendogan,德国,26,CAM,84,87,77,73,87,88,66,70,71676291,Borussia Dortmund,德国甲级联赛,右,180,80,12,3
Nicolas Otamendi,葡萄牙,28,CB,84,84,74,59,58,50,85,83,40765189,FC Porto,葡萄牙超级联赛,右,183,81,0,0
Benedikt Hoewedes,德国,28,CB,83,83,65,47,65,65,84,77,107895416,FC Schalke 04,德国甲级联赛,右,188,82,8,1
Carles Puyol,西班牙,38,CB,83,83,64,49,62,56,86,71,27156857,FC Barcelona,西班牙甲级联赛,右,178,80,9,4
Jonas,西班牙,32,ST,83,83,76,84,78,86,26,69,83372488,Valencia CF,西班牙甲级联赛,右,180,75,36,10
Radja Nainggolan,意大利,28,CM,83,83,78,80,80,82,83,83,54517754,Cagliari,意大利甲级联赛,右,175,65,9,4
Koke,西班牙,24,CAM,83,87,74,77,86,83,52,72,184242773,Atlético Madrid,西班牙甲级联赛,右,178,74,12,8
Marcelo,西班牙,28,CM,83,83,80,71,75,84,83,78,80161317,Real Madrid CF,西班牙甲级联赛,左,175,75,15,22
Dimitri Payet,法国,29,CAM,83,83,77,78,86,86,41,65,39264595,AS Saint-Étienne,法国甲级联赛,右,175,77,30,2
Steve Mandanda,法国,31,GK,83,83,48,16,37,12,14,55,43005300,Olympique de Marseille,法国甲级联赛,右,185,82,0,0
Thiago Alcantara,西班牙,25,CAM,83,87,72,76,85,89,58,67,24938074,FC Barcelona,西班牙甲级联赛,右,175,70,9,4
Claudio Bravo,西班牙,33,GK,83,83,56,19,42,14,18,65,88282774,Real Sociedad,西班牙甲级联赛,右,183,80,0,0
Nemanja Matic,英格兰,28,CM,83,84,67,72,80,76,82,84,64518363,Chelsea,英格兰超级联赛,左,193,84,1,4
Juan Mata,西班牙,28,W,83,83,70,74,84,86,28,64,58114152,Valencia CF,西班牙甲级联赛,左,170,63,57,55
Stephane Ruffier,法国,30,GK,83,83,54,14,39,14,15,62,58693592,AS Saint-Étienne,法国甲级联赛,右,188,90,0,0
Douglas Costa,德国,26,W,83,86,92,78,77,86,48,66,235689071,FC Bayern Munich,德国甲级联赛,左,173,65,0,0
Chris Smalling,英格兰,27,CB,83,85,76,33,59,64,85,81,65312657,Manchester United,英格兰超级联赛,右,193,90,4,0
Edwin van der Sar,英格兰,45,GK,83,87,46,17,31,18,16,58,68694799,Manchester United,英格兰超级联赛,右,198,89,0,1
Sokratis Papastathopoulos,德国,28,FB,83,83,74,57,62,58,86,81,57832757,Borussia Dortmund,德国甲级联赛,右,185,85,6,2
Alexandre Lacazette,法国,25,ST,83,87,87,80,75,84,30,78,67293839,Olympique Lyonnais,法国甲级联赛,右,175,73,23,2
Nilmar,西班牙,32,W,83,86,92,78,67,85,17,63,58148537,Villarreal CF,西班牙甲级联赛,右,180,74,25,7
Arda Turan,西班牙,29,CAM,83,83,74,74,84,88,62,74,111333194,Atlético Madrid,西班牙甲级联赛,右,178,76,11,7
Per Mertesacker,英格兰,32,GK,83,83,31,44,62,52,88,61,127276669,Arsenal,英格兰超级联赛,右,198,90,16,1
Mehdi Benatia,意大利,29,CB,83,83,64,44,58,62,84,80,46286720,Udinese,意大利甲级联赛,右,190,92,12,0
Nicolas Gaitan,葡萄牙,28,W,83,83,84,74,83,86,39,63,67178085,SL Benfica,葡萄牙超级联赛,左,173,68,0,0
Ezequiel Garay,葡萄牙,30,CM,83,83,52,61,70,68,86,75,114624229,SL Benfica,葡萄牙超级联赛,右,188,80,3,4
Ralf Faehrmann,德国,28,GK,83,84,42,15,31,20,14,61,64450623,FC Schalke 04,德国甲级联赛,右,196,95,0,0
Joao Moutinho,法国,30,CM,83,83,71,77,84,82,71,76,116833610,AS Monaco,法国甲级联赛,右,170,61,1,3
Willian,英格兰,28,W,83,84,89,75,81,86,53,64,70183709,Chelsea,英格兰超级联赛,右,175,75,4,2
Aymeric Laporte,西班牙,22,CB,83,87,68,42,66,62,86,78,72713523,Athletic Club de Bilbao,西班牙甲级联赛,左,188,85,2,0
Christian Eriksen,荷兰,24,CAM,83,87,76,77,84,84,40,65,51682505,Ajax,荷兰甲级联赛,右,178,71,8,9
Konstantinos Manolas,意大利,25,CB,83,86,82,22,48,60,86,82,36484380,Roma,意大利甲级联赛,右,188,83,0,0
Jackson Martinez,葡萄牙,30,ST,83,83,81,79,69,80,38,86,136162402,FC Porto,葡萄牙超级联赛,右,185,85,0,0
Daniel Sturridge,英格兰,27,ST,83,85,88,84,70,82,18,73,57942633,Liverpool,英格兰超级联赛,左,188,76,57,16
David Luiz,英格兰,29,CM,83,83,72,67,74,74,82,77,39849644,Chelsea,英格兰超级联赛,右,188,84,7,4
Bernd Leno,德国,24,GK,83,88,49,15,41,19,16,61,83325799,Bayer 04 Leverkusen,德国甲级联赛,右,190,83,0,0
Leonardo Bonucci,意大利,29,FB,83,83,70,55,73,70,86,81,40521540,Juventus,意大利甲级联赛,右,190,86,7,1
Javier Mascherano,西班牙,32,FB,83,83,68,59,74,70,87,79,38672488,FC Barcelona,西班牙甲级联赛,右,175,73,1,2
Luiz Gustavo,德国,29,CM,83,83,70,67,76,72,85,79,121456112,VfL Wolfsburg,德国甲级联赛,左,188,80,14,4
Pedro Rodriguez,西班牙,29,W,83,83,82,75,77,84,36,67,55558344,FC Barcelona,西班牙甲级联赛,右,168,62,53,19
Loic Perrin,法国,31,CM,82,82,72,68,71,68,85,82,44731461,AS Saint-Étienne,法国甲级联赛,右,180,81,8,1
Sebastian Meoli,瑞士,36,W,82,82,89,79,79,86,25,59,52985250,FC Lausanne-Sports,瑞士超级联赛,右,185,80,0,0
Nolito,西班牙,30,W,82,82,78,79,76,84,38,66,51914647,RC Celta de Vigo,西班牙甲级联赛,右,175,72,17,2
Romelu Lukaku,英格兰,23,ST,82,88,82,82,65,76,28,81,45581143,Everton,英格兰超级联赛,左,190,94,33,11
Marek Hamsik,意大利,29,CAM,82,82,76,77,83,84,60,73,47713233,Napoli,意大利甲级联赛,右,183,79,48,17
Yann Sommer,瑞士,28,GK,82,83,51,16,43,20,16,61,79389520,FC Basel,瑞士超级联赛,右,183,79,0,0
Radamel Falcao,西班牙,30,ST,82,82,72,79,63,78,30,78,78179603,Atlético Madrid,西班牙甲级联赛,右,178,72,63,2
Fernando Muslera,意大利,30,GK,82,82,62,15,50,24,18,66,58892465,Lazio,意大利甲级联赛,右,190,84,2,0
Toby Alderweireld,荷兰,27,CM,82,83,66,66,73,65,85,79,57842505,Ajax,荷兰甲级联赛,右,185,81,2,0
Julian Draxler,德国,23,ST,82,85,78,82,80,86,30,71,80158291,FC Schalke 04,德国甲级联赛,右,188,75,15,2
Demba Ba,德国,31,ST,82,82,78,83,69,77,42,81,66244593,TSG 1899 Hoffenheim,德国甲级联赛,右,188,85,71,4
Pablo Zabaleta,英格兰,31,FB,82,82,72,57,67,74,85,83,55241936,Manchester City,英格兰超级联赛,右,178,76,7,13
Marc-Andre ter Stegen,德国,24,GK,82,87,44,15,42,18,14,65,45244421,Borussia Mönchengladbach,德国甲级联赛,右,188,85,1,0
Kamil Glik,意大利,28,CB,82,82,62,29,47,55,85,79,42797413,Torino,意大利甲级联赛,右,190,80,3,0
Daniele De Rossi,意大利,33,CM,82,82,68,68,78,71,82,80,39786337,Roma,意大利甲级联赛,右,185,83,17,12
Kevin Trapp,德国,26,GK,82,85,48,16,27,17,14,65,41776538,Eintracht Frankfurt,德国甲级联赛,右,188,88,0,0
Shinji Kagawa,德国,27,W,82,83,80,59,80,86,34,62,55447034,Borussia Dortmund,德国甲级联赛,右,175,68,27,14
Grzegorz Krychowiak,法国,26,CM,82,84,70,64,80,70,80,82,47202989,Stade de Reims,法国甲级联赛,右,185,85,9,0
Leighton Baines,英格兰,32,CM,82,82,76,76,77,76,81,76,16783781,Everton,英格兰超级联赛,左,170,70,23,38
Raphael Varane,西班牙,23,FB,82,89,79,48,67,66,84,75,41155266,Real Madrid CF,西班牙甲级联赛,右,190,78,3,0
Shkodran Mustafi,西班牙,24,FB,82,87,71,59,65,58,83,80,47424197,Valencia CF,西班牙甲级联赛,右,183,82,2,0
Yacine Brahimi,葡萄牙,26,W,82,84,82,73,78,90,34,66,76409688,FC Porto,葡萄牙超级联赛,右,175,66,8,0
Daniel Carvajal,西班牙,24,FB,82,85,82,46,69,79,83,79,54698887,Real Madrid CF,西班牙甲级联赛,右,173,73,3,0
Lassana Diarra,西班牙,31,FB,82,82,78,60,77,79,83,79,48063314,Real Madrid CF,西班牙甲级联赛,右,173,73,1,3
Jan Vertonghen,英格兰,29,CM,82,82,70,71,70,70,82,80,81694241,Tottenham Hotspur,英格兰超级联赛,左,188,86,6,3
Jeremy Toulalan,法国,33,CM,82,82,50,59,81,74,80,79,78197710,Olympique Lyonnais,法国甲级联赛,右,183,77,4,1
Yevheniy Konoplyanka,西班牙,27,W,82,84,90,80,80,86,32,68,77502496,Sevilla FC,西班牙甲级联赛,右,175,69,0,0
Samir Nasri,英格兰,29,W,82,82,80,76,82,86,38,60,65142887,Manchester City,英格兰超级联赛,右,175,75,32,31
Lars Bender,德国,27,CM,82,83,68,68,77,74,83,82,42755920,Bayer 04 Leverkusen,德国甲级联赛,右,185,80,14,3
Sven Bender,德国,27,CM,82,83,66,59,72,64,85,82,29170731,Borussia Dortmund,德国甲级联赛,右,185,80,5,5
Filipe Luis,西班牙,31,FB,82,82,82,63,74,78,83,75,62799143,Atlético Madrid,西班牙甲级联赛,左,183,77,8,5
Ricardo Rodriguez,德国,24,CM,82,86,75,70,78,79,84,76,117748587,VfL Wolfsburg,德国甲级联赛,左,180,77,7,6
Daniel Parejo,西班牙,27,CAM,82,83,58,78,88,82,58,70,54787511,Valencia CF,西班牙甲级联赛,右,180,75,14,6
Hatem Ben Arfa,英格兰,29,ST,82,82,82,82,79,87,35,76,49513921,Newcastle United,英格兰超级联赛,左,178,74,13,11
Jan Oblak,西班牙,23,GK,82,86,52,15,37,14,16,65,37545262,Atlético Madrid,西班牙甲级联赛,右,185,87,0,0
Aritz Aduriz,西班牙,35,ST,82,82,73,81,63,76,42,82,67349555,Athletic Club de Bilbao,西班牙甲级联赛,右,183,78,72,5
Clarence Seedorf,意大利,40,CAM,82,82,64,81,86,86,50,75,45972647,Milan,意大利甲级联赛,右,178,80,18,11
Olivier Giroud,英格兰,30,ST,82,82,64,81,69,76,31,83,58342335,Arsenal,英格兰超级联赛,左,193,88,47,12
Wesley Sneijder,意大利,32,CAM,82,82,72,81,85,84,39,47,50649736,Inter,意大利甲级联赛,右,170,72,15,17
Salvatore Sirigu,法国,29,GK,82,82,50,15,32,16,15,56,56978021,Paris Saint-Germain,法国甲级联赛,右,193,80,0,0
Alex Sandro,葡萄牙,25,FB,82,85,88,67,72,82,80,82,42349660,FC Porto,葡萄牙超级联赛,左,180,78,0,0
Roberto Firmino,德国,25,ST,82,86,76,80,80,85,35,77,56637750,TSG 1899 Hoffenheim,德国甲级联赛,右,180,76,33,6
Nani,英格兰,30,W,82,82,84,81,80,86,22,64,51255748,Manchester United,英格兰超级联赛,右,175,66,24,42
Julio Cesar,意大利,37,GK,82,82,41,14,37,30,18,61,48339473,Inter,意大利甲级联赛,左,185,79,1,0
Thiago Motta,法国,34,CM,82,82,44,70,82,78,78,80,79483035,Paris Saint-Germain,法国甲级联赛,左,188,83,24,8
Aaron Ramsey,英格兰,26,CAM,82,85,69,77,81,82,68,75,21461114,Arsenal,英格兰超级联赛,右,178,70,17,18
Mario Mandzukic,德国,30,ST,82,82,75,73,58,75,38,85,52341094,VfL Wolfsburg,德国甲级联赛,右,190,85,53,6
Asmir Begovic,英格兰,29,GK,82,82,55,17,30,20,14,51,41983847,Stoke City,英格兰超级联赛,右,201,83,1,0
Anthony Lopes,法国,26,GK,82,86,62,19,38,18,16,61,53722588,Olympique Lyonnais,法国甲级联赛,左,183,81,0,0
Carlos Bacca,西班牙,30,ST,82,82,84,80,63,82,19,75,67828001,Sevilla FC,西班牙甲级联赛,右,180,77,14,0
Abdulkader Keita,法国,35,ST,82,82,90,79,73,84,25,83,30506677,Olympique Lyonnais,法国甲级联赛,右,183,78,0,0
Diego Alves,西班牙,31,GK,82,82,54,22,43,14,15,65,52793535,Valencia CF,西班牙甲级联赛,左,188,83,0,0
Sebastian Giovinco,意大利,29,W,82,82,89,79,79,86,25,59,83873344,Parma,意大利甲级联赛,右,165,59,34,10
Harry Kane,英格兰,23,ST,82,88,73,82,70,79,38,78,34715621,Tottenham Hotspur,英格兰超级联赛,右,188,65,4,0
Lorenzo Insigne,意大利,25,W,82,86,89,72,78,88,22,59,57437453,Napoli,意大利甲级联赛,右,163,59,8,3
Oscar,英格兰,25,W,82,86,78,76,82,83,42,59,32864440,Chelsea,英格兰超级联赛,右,178,67,12,7
Keylor Navas,西班牙,30,GK,82,82,56,16,40,18,15,63,27088218,Levante UD,西班牙甲级联赛,右,185,78,0,0
Gary Cahill,英格兰,31,FB,82,82,70,62,61,61,85,76,57329837,Chelsea,英格兰超级联赛,右,193,86,18,9
Morgan Schneiderlin,英格兰,27,CM,82,84,64,64,79,76,82,80,58811170,Southampton,英格兰超级联赛,右,180,75,7,1
Karim Bellarabi,德国,26,W,82,84,90,78,75,86,32,72,57816241,Bayer 04 Leverkusen,德国甲级联赛,右,183,80,4,3
Granit Xhaka,德国,24,CM,82,86,51,74,87,75,73,63,81412538,Borussia Mönchengladbach,德国甲级联赛,左,185,82,1,0
Ledley King,英格兰,36,CB,82,82,67,34,61,60,82,68,45301410,Tottenham Hotspur,英格兰超级联赛,右,188,86,3,1
Iker Casillas,西班牙,35,GK,82,82,64,18,36,24,14,63,55158762,Real Madrid CF,西班牙甲级联赛,左,185,84,0,0
Jeremy Mathieu,西班牙,33,FB,82,82,76,70,61,55,82,77,49440749,Valencia CF,西班牙甲级联赛,左,188,84,6,8
Borja Valero,意大利,31,CAM,82,82,71,71,87,85,64,70,51807413,Fiorentina,意大利甲级联赛,右,175,73,20,19
Stephan Lichtsteiner,意大利,32,FB,82,82,82,64,69,74,81,80,19232085,Juventus,意大利甲级联赛,右,183,75,12,6
Javier Hernandez,英格兰,28,ST,82,82,86,78,65,77,26,73,119429155,Manchester United,英格兰超级联赛,右,175,73,40,9
Cesar Azpilicueta,英格兰,27,FB,82,84,79,58,74,74,85,77,41902345,Chelsea,英格兰超级联赛,右,178,75,3,4
Ander Iturraspe,西班牙,27,CM,81,82,64,64,83,74,80,72,27333360,Athletic Club de Bilbao,西班牙甲级联赛,右,188,75,2,4
Raul Albiol,意大利,31,CB,81,81,61,48,62,60,84,74,59604262,Napoli,意大利甲级联赛,右,190,82,7,3
Gonzalo Rodriguez,意大利,32,FB,81,81,68,47,69,66,84,76,36580708,Fiorentina,意大利甲级联赛,右,183,79,15,0
Juanfran,西班牙,31,FB,81,81,84,60,70,78,79,78,23724792,Atlético Madrid,西班牙甲级联赛,右,180,72,11,7
Jose Maria Callejon,意大利,29,W,81,81,90,77,67,83,32,70,81185697,Napoli,意大利甲级联赛,右,178,73,33,8
Bruno Soriano,西班牙,32,CM,81,81,54,77,84,78,81,73,60531306,Villarreal CF,西班牙甲级联赛,左,183,73,10,5
Timo Horn,德国,23,GK,81,87,48,17,41,21,14,54,31354831,1. FC Köln,德国甲级联赛,左,193,90,0,0
Omer Toprak,德国,27,FB,81,83,75,42,67,66,84,75,31816884,Bayer 04 Leverkusen,德国甲级联赛,右,188,83,4,1
Lucas Moura,法国,24,W,81,84,93,74,74,86,45,65,67953706,Paris Saint-Germain,法国甲级联赛,右,173,72,5,5
Vitolo,西班牙,27,W,81,83,80,74,78,84,24,69,78125987,Sevilla FC,西班牙甲级联赛,右,183,79,4,3
Jeremy Menez,法国,29,W,81,81,84,75,67,86,29,66,43594380,Paris Saint-Germain,法国甲级联赛,右,183,73,20,8
Mickael Landreau,法国,37,GK,81,81,33,24,32,26,25,61,22475007,LOSC Lille,法国甲级联赛,右,183,84,0,0
Seamus Coleman,英格兰,28,FB,81,82,80,69,72,78,82,78,83002681,Everton,英格兰超级联赛,右,178,77,11,11
Carlos Vela,西班牙,27,ST,81,82,86,76,73,82,21,69,57681726,Real Sociedad,西班牙甲级联赛,左,178,75,47,8
Antonio Candreva,意大利,29,W,81,81,82,82,77,84,46,66,36546410,Lazio,意大利甲级联赛,右,180,70,29,4
Patrick Herrmann,德国,25,W,81,84,91,76,74,82,30,66,49049557,Borussia Mönchengladbach,德国甲级联赛,右,178,70,22,8
Pepe Reina,英格兰,34,GK,81,81,56,18,35,16,20,60,37800010,Liverpool,英格兰超级联赛,右,188,92,2,4
Raul,德国,39,ST,81,81,64,75,75,84,27,69,57007991,FC Schalke 04,德国甲级联赛,左,180,68,52,8
Mario Gomez,德国,31,ST,81,81,72,82,60,74,21,77,64156667,FC Bayern Munich,德国甲级联赛,右,188,88,105,5
Asamoah Gyan,法国,31,ST,81,85,81,79,69,78,26,77,23265859,Stade Rennais FC,法国甲级联赛,右,180,77,10,4
Gary Medel,西班牙,29,FB,81,81,76,52,76,67,83,88,34903933,Sevilla FC,西班牙甲级联赛,右,170,76,8,1
Matteo Darmian,意大利,27,FB,81,83,80,54,68,76,82,76,42086099,Torino,意大利甲级联赛,右,183,70,0,1
Didier Drogba,英格兰,38,ST,81,81,66,83,68,78,31,76,99123347,Chelsea,英格兰超级联赛,右,188,80,52,29
Axel Witsel,比利时,27,CM,81,82,70,74,80,84,73,79,49406475,Standard de Liège,比利时甲级联赛,右,185,73,0,0
Vincent Enyeama,法国,34,GK,81,81,52,21,42,17,14,62,29701800,LOSC Lille,法国甲级联赛,右,183,87,0,0
