name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Joonas Kolkka,荷兰,42,W,68,75,70,60,66,73,37,57,9293067,NAC Breda,荷兰甲级联赛,右,175,70,0,0
Riccardo Allegretti,意大利,38,CAM,68,75,68,69,73,67,40,62,5883620,Bari,意大利甲级联赛,右,170,70,3,0
Unai Bustinza,西班牙,24,FB,68,74,72,36,46,64,68,66,13359655,Atlético Madrid,西班牙甲级联赛,右,175,76,0,0
Paul Alo'o Efoulou,法国,33,ST,68,68,66,66,59,68,28,66,12194342,AS Nancy-Lorraine,法国甲级联赛,右,175,77,3,0
Johann Ramare,法国,32,CM,68,68,46,49,71,65,68,83,6399417,Stade de Reims,法国甲级联赛,右,180,74,0,0
Hector Quinones,葡萄牙,24,FB,68,73,76,60,57,70,64,62,2533314,FC Penafiel,葡萄牙超级联赛,左,178,68,0,0
Yuji Ono,比利时,24,W,68,72,77,61,65,71,24,65,8718728,Sint-Truidense VV,比利时甲级联赛,右,170,69,0,0
Ribair Rodriguez,意大利,29,FB,68,72,74,55,60,65,70,80,9009846,Siena,意大利甲级联赛,右,183,87,0,0
Tim Matthijs,比利时,33,CM,68,68,62,69,70,68,62,68,7106732,KV Mechelen,比利时甲级联赛,右,180,76,0,0
Jurica Vranjes,德国,36,CM,68,75,60,48,69,60,70,67,5823549,SV Werder Bremen,德国甲级联赛,右,185,76,0,0
Marko Babic,西班牙,35,FB,68,84,76,57,62,72,64,66,7752745,Real Zaragoza,西班牙甲级联赛,左,185,72,1,0
Mario Felgueiras,葡萄牙,30,GK,68,68,40,16,44,14,17,59,15713653,Vitória Setúbal,葡萄牙超级联赛,右,185,80,0,0
Mateusz Matras,波兰,25,CM,68,70,54,50,62,63,66,79,6129865,Piast Gliwice,波兰甲级联赛,右,193,87,0,0
Domingos Alexandre Martins da Costa Alex,葡萄牙,37,CM,68,68,60,50,62,68,69,69,7540365,Vitória Guimarães,葡萄牙超级联赛,右,175,74,0,0
Igor Lewczuk,波兰,31,FB,68,68,78,47,59,60,68,75,6984553,Legia Warszawa,波兰甲级联赛,右,188,85,0,0
Bruno Grougi,法国,33,CAM,68,68,68,68,71,66,48,49,9662714,Stade Brestois 29,法国甲级联赛,右,173,70,15,0
Andrea Rossi,意大利,30,FB,68,68,76,46,56,60,65,58,9381438,Siena,意大利甲级联赛,左,178,71,0,0
Mauro Camoranesi,意大利,40,CM,68,68,54,66,74,74,71,61,5845494,Juventus,意大利甲级联赛,右,173,77,4,9
Osmar Barba,西班牙,28,CM,68,68,37,63,71,58,65,72,5636160,Racing Santander,西班牙甲级联赛,左,193,83,0,0
